Transaction_ID,Day,Date,Product_ID,Product_Name,Category,Supplier_ID,Stock_In,Stock_Out,Unit_Cost,Current_Stock,Reorder_Level,Stock_Value,Movement_Net,Reorder_Status
INV110246,Wednesday,01-01-2025,P019,Sony Bluetooth Speaker,Electronics,S006,132,0,"? 8,272",389,100,"? 32,17,664",132,Sufficient Stock
INV110243,Wednesday,01-01-2025,P020,JBL Headphones,Electronics,S002,0,19,"? 6,413",378,93,"? 24,24,005",-19,Sufficient Stock
INV120273,Wednesday,01-01-2025,P022,Panasonic Extension Board,Home Appliances,S008,0,30,"? 1,413",619,82,"? 8,74,653",-30,Sufficient Stock
INV113183,Wednesday,01-01-2025,P023,Bosch Cordless Drill,Hardware,S011,57,22,"? 11,030",784,93,"? 86,47,502",35,Sufficient Stock
INV114745,Wednesday,01-01-2025,P023,Bosch Cordless Drill,Hardware,S011,27,15,"? 11,697",796,93,"? 93,10,817",12,Sufficient Stock
INV121967,Wednesday,01-01-2025,P023,Bosch Cordless Drill,Hardware,S011,0,12,"? 11,099",784,93,"? 87,01,998",-12,Sufficient Stock
INV116671,Wednesday,01-01-2025,P025,3M Safety Gloves,Industrial,S010,50,0,? 905,646,95,"? 5,84,419",50,Sufficient Stock
INV120236,Wednesday,01-01-2025,P025,3M Safety Gloves,Industrial,S010,140,0,? 881,786,95,"? 6,92,724",140,Sufficient Stock
INV125157,Wednesday,01-01-2025,P025,3M Safety Gloves,Industrial,S005,195,0,? 861,981,95,"? 8,45,027",195,Sufficient Stock
INV107931,Wednesday,01-01-2025,P028,Ubiquiti Access Point,Electronics,S010,234,0,"? 13,203",736,71,"? 97,17,506",234,Sufficient Stock
INV125992,Wednesday,01-01-2025,P028,Ubiquiti Access Point,Electronics,S010,0,29,"? 13,473",707,71,"? 95,25,439",-29,Sufficient Stock
INV102227,Wednesday,01-01-2025,P030,Zebra Barcode Scanner,Electronics,S014,139,18,"? 18,344",398,40,"? 73,00,997",121,Sufficient Stock
INV108530,Wednesday,01-01-2025,P030,Zebra Barcode Scanner,Electronics,S014,0,21,"? 18,758",377,40,"? 70,71,911",-21,Sufficient Stock
INV126672,Wednesday,01-01-2025,P032,Microsoft Wireless Keyboard,Electronics,S007,174,18,"? 4,779",472,47,"? 22,55,862",156,Sufficient Stock
INV109116,Wednesday,01-01-2025,P033,Microsoft Wireless Mouse,Electronics,S012,71,23,"? 4,039",443,75,"? 17,89,347",48,Sufficient Stock
INV117786,Wednesday,01-01-2025,P033,Microsoft Wireless Mouse,Electronics,S012,232,19,"? 3,693",656,75,"? 24,22,557",213,Sufficient Stock
INV120851,Wednesday,01-01-2025,P033,Microsoft Wireless Mouse,Electronics,S012,116,26,"? 3,980",746,75,"? 29,68,989",90,Sufficient Stock
INV113381,Wednesday,01-01-2025,P034,Acer 24-inch Monitor,Electronics,S004,82,17,"? 15,700",654,100,"? 1,02,67,607",65,Sufficient Stock
INV117124,Wednesday,01-01-2025,P034,Acer 24-inch Monitor,Electronics,S004,141,18,"? 14,015",777,100,"? 1,08,90,025",123,Sufficient Stock
INV102863,Wednesday,01-01-2025,P035,Asus VivoBook,Electronics,S002,31,31,"? 56,116",565,53,"? 3,17,05,356",0,Sufficient Stock
INV109933,Wednesday,01-01-2025,P035,Asus VivoBook,Electronics,S002,233,0,"? 54,860",798,53,"? 4,37,78,107",233,Sufficient Stock
INV118307,Wednesday,01-01-2025,P035,Asus VivoBook,Electronics,S002,206,0,"? 56,139",1004,53,"? 5,63,63,839",206,Sufficient Stock
INV103230,Wednesday,01-01-2025,P036,Acer Aspire 5,Electronics,S003,35,19,"? 49,412",470,85,"? 2,32,23,675",16,Sufficient Stock
INV119048,Wednesday,01-01-2025,P036,Acer Aspire 5,Electronics,S003,0,27,"? 51,852",443,85,"? 2,29,70,431",-27,Sufficient Stock
INV108846,Wednesday,01-01-2025,P040,SanDisk 512GB SSD,Electronics,S007,36,20,"? 5,226",373,46,"? 19,49,127",16,Sufficient Stock
INV109309,Wednesday,01-01-2025,P040,SanDisk 512GB SSD,Electronics,S014,0,23,"? 5,397",350,46,"? 18,88,796",-23,Sufficient Stock
INV109500,Thursday,02-01-2025,P002,HP 15s,Electronics,S006,230,0,"? 42,781",1541,37,"? 6,59,26,126",230,Sufficient Stock
INV115207,Thursday,02-01-2025,P002,HP 15s,Electronics,S006,159,24,"? 40,686",1676,37,"? 6,81,89,970",135,Sufficient Stock
INV116558,Thursday,02-01-2025,P002,HP 15s,Electronics,S006,123,20,"? 41,632",1779,37,"? 7,40,63,783",103,Sufficient Stock
INV100753,Thursday,02-01-2025,P003,Lenovo IdeaPad 3,Electronics,S002,82,20,"? 44,307",820,50,"? 3,63,31,682",62,Sufficient Stock
INV120319,Thursday,02-01-2025,P004,Apple MacBook Air,Electronics,S004,148,21,"? 96,310",815,94,"? 7,84,92,652",127,Sufficient Stock
INV123492,Thursday,02-01-2025,P005,Logitech K380 Keyboard,Electronics,S008,0,24,"? 3,783",375,46,"? 14,18,584",-24,Sufficient Stock
INV128155,Thursday,02-01-2025,P005,Logitech K380 Keyboard,Electronics,S008,88,24,"? 3,992",439,46,"? 17,52,578",64,Sufficient Stock
INV114341,Thursday,02-01-2025,P007,Samsung 24-inch Monitor,Electronics,S010,0,19,"? 15,740",307,76,"? 48,32,291",-19,Sufficient Stock
INV127867,Thursday,02-01-2025,P007,Samsung 24-inch Monitor,Electronics,S006,0,18,"? 17,058",289,76,"? 49,29,655",-18,Sufficient Stock
INV107809,Thursday,02-01-2025,P008,LG 27-inch Monitor,Electronics,S009,51,28,"? 21,107",502,99,"? 1,05,95,723",23,Sufficient Stock
INV116830,Thursday,02-01-2025,P008,LG 27-inch Monitor,Electronics,S009,96,25,"? 20,614",573,99,"? 1,18,11,912",71,Sufficient Stock
INV110921,Thursday,02-01-2025,P009,TP-Link WiFi Router,Electronics,S014,180,24,"? 5,633",1188,94,"? 66,92,500",156,Sufficient Stock
INV118272,Thursday,02-01-2025,P010,Cisco 8-Port Switch,Electronics,S010,0,24,"? 10,470",488,23,"? 51,09,472",-24,Sufficient Stock
INV114676,Thursday,02-01-2025,P011,Epson EcoTank Printer,Electronics,S009,154,0,"? 23,887",492,67,"? 1,17,52,471",154,Sufficient Stock
INV102554,Thursday,02-01-2025,P012,Canon Laser Printer,Electronics,S002,31,0,"? 21,244",888,22,"? 1,88,65,084",31,Sufficient Stock
INV109224,Thursday,02-01-2025,P012,Canon Laser Printer,Electronics,S002,184,19,"? 20,984",1053,22,"? 2,20,95,876",165,Sufficient Stock
INV128379,Thursday,02-01-2025,P012,Canon Laser Printer,Electronics,S002,40,17,"? 20,787",1076,22,"? 2,23,66,826",23,Sufficient Stock
INV127122,Thursday,02-01-2025,P013,Samsung 1TB SSD,Electronics,S012,0,20,"? 7,771",903,47,"? 70,17,123",-20,Sufficient Stock
INV103109,Thursday,02-01-2025,P015,Kingston 16GB RAM,Electronics,S012,0,20,"? 4,511",287,64,"? 12,94,667",-20,Sufficient Stock
INV104103,Thursday,02-01-2025,P015,Kingston 16GB RAM,Electronics,S012,100,15,"? 4,892",372,64,"? 18,19,883",85,Sufficient Stock
INV109088,Thursday,02-01-2025,P015,Kingston 16GB RAM,Electronics,S012,236,16,"? 4,728",592,64,"? 27,98,796",220,Sufficient Stock
INV113966,Thursday,02-01-2025,P015,Kingston 16GB RAM,Electronics,S012,0,26,"? 4,347",566,64,"? 24,60,606",-26,Sufficient Stock
INV122418,Thursday,02-01-2025,P015,Kingston 16GB RAM,Electronics,S012,100,14,"? 4,630",652,64,"? 30,18,667",86,Sufficient Stock
INV127712,Thursday,02-01-2025,P015,Kingston 16GB RAM,Electronics,S011,187,0,"? 4,511",839,64,"? 37,84,979",187,Sufficient Stock
INV103847,Thursday,02-01-2025,P016,APC UPS 650VA,Electronics,S001,26,20,"? 9,000",240,68,"? 21,60,072",6,Sufficient Stock
INV117733,Thursday,02-01-2025,P016,APC UPS 650VA,Electronics,S001,127,34,"? 9,119",333,68,"? 30,36,668",93,Sufficient Stock
INV127207,Thursday,02-01-2025,P016,APC UPS 650VA,Electronics,S001,193,0,"? 8,319",526,68,"? 43,75,574",193,Sufficient Stock
INV115395,Thursday,02-01-2025,P017,Belkin USB-C Hub,Electronics,S015,0,18,"? 4,876",769,28,"? 37,49,765",-18,Sufficient Stock
INV119019,Thursday,02-01-2025,P017,Belkin USB-C Hub,Electronics,S015,0,24,"? 4,916",745,28,"? 36,62,049",-24,Sufficient Stock
INV119196,Thursday,02-01-2025,P018,Anker Power Bank,Electronics,S010,16,22,"? 3,940",354,58,"? 13,94,856",-6,Sufficient Stock
INV114043,Thursday,02-01-2025,P019,Sony Bluetooth Speaker,Electronics,S006,14,14,"? 8,015",389,100,"? 31,17,772",0,Sufficient Stock
INV104795,Thursday,02-01-2025,P020,JBL Headphones,Electronics,S014,22,25,"? 6,186",375,93,"? 23,19,781",-3,Sufficient Stock
INV105722,Thursday,02-01-2025,P020,JBL Headphones,Electronics,S002,97,17,"? 5,963",455,93,"? 27,13,104",80,Sufficient Stock
INV108103,Thursday,02-01-2025,P020,JBL Headphones,Electronics,S002,211,16,"? 6,411",650,93,"? 41,67,068",195,Sufficient Stock
INV118689,Thursday,02-01-2025,P020,JBL Headphones,Electronics,S002,0,23,"? 6,698",627,93,"? 41,99,375",-23,Sufficient Stock
INV101109,Thursday,02-01-2025,P021,Philips LED Bulb,Home Appliances,S009,116,29,? 735,753,93,"? 5,53,823",87,Sufficient Stock
INV108658,Thursday,02-01-2025,P021,Philips LED Bulb,Home Appliances,S006,0,17,? 778,736,93,"? 5,72,402",-17,Sufficient Stock
INV110980,Thursday,02-01-2025,P021,Philips LED Bulb,Home Appliances,S009,0,36,? 696,700,93,"? 4,87,117",-36,Sufficient Stock
INV111141,Thursday,02-01-2025,P021,Philips LED Bulb,Home Appliances,S009,212,23,? 780,889,93,"? 6,93,724",189,Sufficient Stock
INV113158,Thursday,02-01-2025,P021,Philips LED Bulb,Home Appliances,S009,52,23,? 732,918,93,"? 6,72,290",29,Sufficient Stock
INV105626,Thursday,02-01-2025,P024,Stanley Tool Kit,Hardware,S014,151,16,"? 8,830",735,83,"? 64,90,099",135,Sufficient Stock
INV121809,Thursday,02-01-2025,P024,Stanley Tool Kit,Hardware,S008,0,17,"? 8,331",718,83,"? 59,81,405",-17,Sufficient Stock
INV101286,Thursday,02-01-2025,P025,3M Safety Gloves,Industrial,S010,215,27,? 877,1169,95,"? 10,25,673",188,Sufficient Stock
INV108789,Thursday,02-01-2025,P025,3M Safety Gloves,Industrial,S010,201,28,? 888,1342,95,"? 11,91,190",173,Sufficient Stock
INV121836,Thursday,02-01-2025,P025,3M Safety Gloves,Industrial,S010,0,39,? 957,1303,95,"? 12,46,802",-39,Sufficient Stock
INV101933,Thursday,02-01-2025,P026,3M Safety Helmet,Industrial,S001,132,25,"? 1,804",609,53,"? 10,98,697",107,Sufficient Stock
INV107772,Thursday,02-01-2025,P026,3M Safety Helmet,Industrial,S001,122,25,"? 1,757",706,53,"? 12,40,731",97,Sufficient Stock
INV110358,Thursday,02-01-2025,P027,D-Link Ethernet Cable,Electronics,S015,81,0,? 700,657,34,"? 4,59,607",81,Sufficient Stock
INV121726,Thursday,02-01-2025,P027,D-Link Ethernet Cable,Electronics,S015,186,20,? 645,823,34,"? 5,31,047",166,Sufficient Stock
INV125704,Thursday,02-01-2025,P028,Ubiquiti Access Point,Electronics,S010,249,22,"? 13,334",934,71,"? 1,24,53,975",227,Sufficient Stock
INV110029,Thursday,02-01-2025,P029,Brother Label Printer,Electronics,S005,153,26,"? 14,299",916,37,"? 1,30,97,664",127,Sufficient Stock
INV114301,Thursday,02-01-2025,P029,Brother Label Printer,Electronics,S005,219,17,"? 14,434",1118,37,"? 1,61,36,745",202,Sufficient Stock
INV121828,Thursday,02-01-2025,P029,Brother Label Printer,Electronics,S005,88,28,"? 14,133",1178,37,"? 1,66,48,967",60,Sufficient Stock
INV116607,Thursday,02-01-2025,P032,Microsoft Wireless Keyboard,Electronics,S007,0,19,"? 5,224",453,47,"? 23,66,338",-19,Sufficient Stock
INV121832,Thursday,02-01-2025,P033,Microsoft Wireless Mouse,Electronics,S012,0,22,"? 3,971",724,75,"? 28,74,785",-22,Sufficient Stock
INV120404,Thursday,02-01-2025,P034,Acer 24-inch Monitor,Electronics,S004,179,24,"? 14,275",932,100,"? 1,33,04,687",155,Sufficient Stock
INV128627,Thursday,02-01-2025,P035,Asus VivoBook,Electronics,S002,0,22,"? 54,705",982,53,"? 5,37,20,078",-22,Sufficient Stock
INV129429,Thursday,02-01-2025,P035,Asus VivoBook,Electronics,S002,31,0,"? 55,581",1013,53,"? 5,63,03,928",31,Sufficient Stock
INV118930,Thursday,02-01-2025,P036,Acer Aspire 5,Electronics,S003,190,20,"? 53,301",613,85,"? 3,26,73,312",170,Sufficient Stock
INV121101,Thursday,02-01-2025,P036,Acer Aspire 5,Electronics,S003,25,21,"? 53,453",617,85,"? 3,29,80,705",4,Sufficient Stock
INV122580,Thursday,02-01-2025,P038,AMD Ryzen 5 Processor,Electronics,S011,220,32,"? 19,350",473,63,"? 91,52,737",188,Sufficient Stock
INV107217,Thursday,02-01-2025,P039,Seagate 4TB HDD,Electronics,S013,207,0,"? 9,604",706,60,"? 67,80,690",207,Sufficient Stock
INV114876,Thursday,02-01-2025,P039,Seagate 4TB HDD,Electronics,S013,0,18,"? 10,465",688,60,"? 71,99,908",-18,Sufficient Stock
INV122990,Thursday,02-01-2025,P040,SanDisk 512GB SSD,Electronics,S014,116,18,"? 5,366",448,46,"? 24,04,145",98,Sufficient Stock
INV101330,Friday,03-01-2025,P001,Dell Inspiron 15,Electronics,S011,162,14,"? 46,083",1044,100,"? 4,81,10,887",148,Sufficient Stock
INV105244,Friday,03-01-2025,P001,Dell Inspiron 15,Electronics,S011,58,15,"? 48,128",1087,100,"? 5,23,15,547",43,Sufficient Stock
INV106174,Friday,03-01-2025,P003,Lenovo IdeaPad 3,Electronics,S002,240,25,"? 48,795",1035,50,"? 5,05,02,703",215,Sufficient Stock
INV107210,Friday,03-01-2025,P003,Lenovo IdeaPad 3,Electronics,S008,39,24,"? 48,182",1050,50,"? 5,05,91,257",15,Sufficient Stock
INV112381,Friday,03-01-2025,P003,Lenovo IdeaPad 3,Electronics,S002,0,23,"? 42,726",1027,50,"? 4,38,79,381",-23,Sufficient Stock
INV120699,Friday,03-01-2025,P003,Lenovo IdeaPad 3,Electronics,S002,0,25,"? 46,000",1002,50,"? 4,60,92,339",-25,Sufficient Stock
INV126956,Friday,03-01-2025,P003,Lenovo IdeaPad 3,Electronics,S002,226,20,"? 47,208",1208,50,"? 5,70,27,858",206,Sufficient Stock
INV118458,Friday,03-01-2025,P004,Apple MacBook Air,Electronics,S004,0,18,"? 1,04,801",797,94,"? 8,35,26,539",-18,Sufficient Stock
INV106265,Friday,03-01-2025,P005,Logitech K380 Keyboard,Electronics,S008,0,21,"? 3,600",418,46,"? 15,04,828",-21,Sufficient Stock
INV113338,Friday,03-01-2025,P006,Logitech M185 Mouse,Electronics,S003,153,25,"? 1,783",612,68,"? 10,91,427",128,Sufficient Stock
INV127620,Friday,03-01-2025,P008,LG 27-inch Monitor,Electronics,S009,15,24,"? 21,158",564,99,"? 1,19,33,058",-9,Sufficient Stock
INV105462,Friday,03-01-2025,P009,TP-Link WiFi Router,Electronics,S014,77,22,"? 5,785",1243,94,"? 71,90,788",55,Sufficient Stock
INV123896,Friday,03-01-2025,P009,TP-Link WiFi Router,Electronics,S014,65,20,"? 5,371",1288,94,"? 69,17,661",45,Sufficient Stock
INV117330,Friday,03-01-2025,P010,Cisco 8-Port Switch,Electronics,S010,96,0,"? 11,622",584,23,"? 67,87,394",96,Sufficient Stock
INV121011,Friday,03-01-2025,P011,Epson EcoTank Printer,Electronics,S009,51,25,"? 23,274",518,67,"? 1,20,55,869",26,Sufficient Stock
INV129761,Friday,03-01-2025,P011,Epson EcoTank Printer,Electronics,S009,80,15,"? 22,076",583,67,"? 1,28,70,129",65,Sufficient Stock
INV123970,Friday,03-01-2025,P013,Samsung 1TB SSD,Electronics,S012,188,19,"? 8,178",1072,47,"? 87,66,523",169,Sufficient Stock
INV101802,Friday,03-01-2025,P014,WD 2TB HDD,Electronics,S015,145,25,"? 6,986",429,22,"? 29,96,924",120,Sufficient Stock
INV109010,Friday,03-01-2025,P014,WD 2TB HDD,Electronics,S015,83,21,"? 6,965",491,22,"? 34,20,000",62,Sufficient Stock
INV116324,Friday,03-01-2025,P014,WD 2TB HDD,Electronics,S015,19,23,"? 6,751",487,22,"? 32,87,647",-4,Sufficient Stock
INV127991,Friday,03-01-2025,P014,WD 2TB HDD,Electronics,S015,0,29,"? 6,960",458,22,"? 31,87,620",-29,Sufficient Stock
INV116962,Friday,03-01-2025,P018,Anker Power Bank,Electronics,S010,80,0,"? 4,352",434,58,"? 18,88,917",80,Sufficient Stock
INV117138,Friday,03-01-2025,P019,Sony Bluetooth Speaker,Electronics,S006,227,34,"? 7,667",582,100,"? 44,62,211",193,Sufficient Stock
INV122511,Friday,03-01-2025,P019,Sony Bluetooth Speaker,Electronics,S006,154,21,"? 7,871",715,100,"? 56,27,648",133,Sufficient Stock
INV112228,Friday,03-01-2025,P020,JBL Headphones,Electronics,S002,133,24,"? 6,025",736,93,"? 44,34,616",109,Sufficient Stock
INV106048,Friday,03-01-2025,P021,Philips LED Bulb,Home Appliances,S009,232,0,? 719,1150,93,"? 8,26,809",232,Sufficient Stock
INV100908,Friday,03-01-2025,P022,Panasonic Extension Board,Home Appliances,S008,215,0,"? 1,455",834,82,"? 12,13,452",215,Sufficient Stock
INV106932,Friday,03-01-2025,P022,Panasonic Extension Board,Home Appliances,S008,238,20,"? 1,371",1052,82,"? 14,42,612",218,Sufficient Stock
INV107756,Friday,03-01-2025,P023,Bosch Cordless Drill,Hardware,S011,85,18,"? 12,174",851,93,"? 1,03,59,738",67,Sufficient Stock
INV122701,Friday,03-01-2025,P023,Bosch Cordless Drill,Hardware,S011,167,23,"? 12,474",995,93,"? 1,24,11,569",144,Sufficient Stock
INV106761,Friday,03-01-2025,P026,3M Safety Helmet,Industrial,S001,241,29,"? 1,758",918,53,"? 16,14,266",212,Sufficient Stock
INV127156,Friday,03-01-2025,P026,3M Safety Helmet,Industrial,S001,0,27,"? 1,743",891,53,"? 15,52,998",-27,Sufficient Stock
INV118874,Friday,03-01-2025,P028,Ubiquiti Access Point,Electronics,S010,193,24,"? 13,048",1103,71,"? 1,43,92,359",169,Sufficient Stock
INV128400,Friday,03-01-2025,P028,Ubiquiti Access Point,Electronics,S010,90,0,"? 14,316",1193,71,"? 1,70,79,074",90,Sufficient Stock
INV105500,Friday,03-01-2025,P029,Brother Label Printer,Electronics,S005,139,24,"? 14,545",1293,37,"? 1,88,06,084",115,Sufficient Stock
INV105711,Friday,03-01-2025,P029,Brother Label Printer,Electronics,S005,74,0,"? 14,564",1367,37,"? 1,99,08,913",74,Sufficient Stock
INV108721,Friday,03-01-2025,P030,Zebra Barcode Scanner,Electronics,S014,152,25,"? 19,071",504,40,"? 96,11,675",127,Sufficient Stock
INV109102,Friday,03-01-2025,P030,Zebra Barcode Scanner,Electronics,S014,31,17,"? 18,466",518,40,"? 95,65,482",14,Sufficient Stock
INV114278,Friday,03-01-2025,P030,Zebra Barcode Scanner,Electronics,S014,0,14,"? 19,119",504,40,"? 96,35,867",-14,Sufficient Stock
INV123858,Friday,03-01-2025,P030,Zebra Barcode Scanner,Electronics,S014,0,15,"? 18,735",489,40,"? 91,61,563",-15,Sufficient Stock
INV111327,Friday,03-01-2025,P032,Microsoft Wireless Keyboard,Electronics,S007,110,21,"? 5,256",542,47,"? 28,48,734",89,Sufficient Stock
INV119229,Friday,03-01-2025,P032,Microsoft Wireless Keyboard,Electronics,S008,246,20,"? 5,040",768,47,"? 38,70,390",226,Sufficient Stock
INV105666,Friday,03-01-2025,P034,Acer 24-inch Monitor,Electronics,S004,45,15,"? 14,733",962,100,"? 1,41,73,270",30,Sufficient Stock
INV107236,Friday,03-01-2025,P034,Acer 24-inch Monitor,Electronics,S004,236,25,"? 14,190",1173,100,"? 1,66,44,759",211,Sufficient Stock
INV126270,Friday,03-01-2025,P035,Asus VivoBook,Electronics,S002,0,13,"? 56,428",1000,53,"? 5,64,28,337",-13,Sufficient Stock
INV111416,Friday,03-01-2025,P036,Acer Aspire 5,Electronics,S003,102,16,"? 51,622",703,85,"? 3,62,90,416",86,Sufficient Stock
INV106490,Friday,03-01-2025,P037,Intel Core i5 Processor,Electronics,S005,69,25,"? 21,931",409,78,"? 89,69,739",44,Sufficient Stock
INV102021,Friday,03-01-2025,P038,AMD Ryzen 5 Processor,Electronics,S011,0,18,"? 21,740",455,63,"? 98,91,677",-18,Sufficient Stock
INV106197,Friday,03-01-2025,P038,AMD Ryzen 5 Processor,Electronics,S008,239,30,"? 19,285",664,63,"? 1,28,05,121",209,Sufficient Stock
INV103534,Saturday,04-01-2025,P001,Dell Inspiron 15,Electronics,S011,108,30,"? 45,667",1165,100,"? 5,32,02,308",78,Sufficient Stock
INV113894,Saturday,04-01-2025,P001,Dell Inspiron 15,Electronics,S007,224,21,"? 50,018",1368,100,"? 6,84,24,247",203,Sufficient Stock
INV104474,Saturday,04-01-2025,P004,Apple MacBook Air,Electronics,S004,158,24,"? 97,459",931,94,"? 9,07,34,214",134,Sufficient Stock
INV126798,Saturday,04-01-2025,P004,Apple MacBook Air,Electronics,S007,41,20,"? 1,03,168",952,94,"? 9,82,16,030",21,Sufficient Stock
INV110160,Saturday,04-01-2025,P005,Logitech K380 Keyboard,Electronics,S008,0,20,"? 3,643",398,46,"? 14,49,739",-20,Sufficient Stock
INV111492,Saturday,04-01-2025,P005,Logitech K380 Keyboard,Electronics,S008,175,0,"? 3,582",573,46,"? 20,52,318",175,Sufficient Stock
INV110407,Saturday,04-01-2025,P007,Samsung 24-inch Monitor,Electronics,S010,190,17,"? 16,423",462,76,"? 75,87,606",173,Sufficient Stock
INV105488,Saturday,04-01-2025,P008,LG 27-inch Monitor,Electronics,S009,23,18,"? 19,507",569,99,"? 1,10,99,477",5,Sufficient Stock
INV108233,Saturday,04-01-2025,P008,LG 27-inch Monitor,Electronics,S009,0,23,"? 21,828",546,99,"? 1,19,18,132",-23,Sufficient Stock
INV124261,Saturday,04-01-2025,P009,TP-Link WiFi Router,Electronics,S014,232,18,"? 5,793",1502,94,"? 87,00,535",214,Sufficient Stock
INV102236,Saturday,04-01-2025,P010,Cisco 8-Port Switch,Electronics,S010,32,32,"? 10,667",584,23,"? 62,29,348",0,Sufficient Stock
INV119998,Saturday,04-01-2025,P010,Cisco 8-Port Switch,Electronics,S010,188,13,"? 11,292",759,23,"? 85,70,440",175,Sufficient Stock
INV123168,Saturday,04-01-2025,P010,Cisco 8-Port Switch,Electronics,S010,226,0,"? 11,754",985,23,"? 1,15,77,358",226,Sufficient Stock
INV126772,Saturday,04-01-2025,P010,Cisco 8-Port Switch,Electronics,S010,0,23,"? 10,709",962,23,"? 1,03,02,235",-23,Sufficient Stock
INV116131,Saturday,04-01-2025,P013,Samsung 1TB SSD,Electronics,S012,19,32,"? 8,592",1059,47,"? 90,98,543",-13,Sufficient Stock
INV110077,Saturday,04-01-2025,P014,WD 2TB HDD,Electronics,S015,58,0,"? 6,481",516,22,"? 33,44,013",58,Sufficient Stock
INV112547,Saturday,04-01-2025,P014,WD 2TB HDD,Electronics,S015,0,19,"? 7,259",497,22,"? 36,07,538",-19,Sufficient Stock
INV113027,Saturday,04-01-2025,P014,WD 2TB HDD,Electronics,S015,138,19,"? 6,625",616,22,"? 40,81,268",119,Sufficient Stock
INV121578,Saturday,04-01-2025,P016,APC UPS 650VA,Electronics,S001,40,27,"? 9,083",539,68,"? 48,95,838",13,Sufficient Stock
